"Excel Analysed Data Export"
"Copyright (c) 2010 QIAGEN GmbH. All Rights Reserved."
"File","Run 2021-09-09 OLA-PCR LOD (dT_21)(pcr) (n = 3).rex"
"Date","9/9/2021"
"Time","4:45:32 PM"

"Quantitative analysis of Cycling A.G2 (Page 1)"

"No.","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","10^0","Unknown","","","","","","","","","",""
"2","10^0","Unknown","","","","","","","","","",""
"3","10^1","Unknown","","","","","","","","","",""
"4","10^1","Unknown","","","","","","","","","",""
"5","10^2","Unknown","","","","","","","","","",""
"6","10^2","Unknown","","","","","","","","","",""
"7","10^3","Unknown","37.52","","","","","36.76","1.07","","",""
"8","10^3","Unknown","36.01","","","","","","","","",""
"9","10^4","Unknown","32.48","","","","","32.47","0.01","","",""
"10","10^4","Unknown","32.46","","","","","","","","",""
"11","10^5","Unknown","28.37","","","","","28.40","0.05","","",""
"12","10^5","Unknown","28.44","","","","","","","","",""
"13","10^6","Unknown","24.83","","","","","24.82","0.02","","",""
"14","10^6","Unknown","24.80","","","","","","","","",""
"15","10^7","Unknown","21.32","","","","","21.10","0.30","","",""
"16","10^7","Unknown","20.89","","","","","","","","",""
"17","Ligation Control","Unknown","","","","","","","","","",""
"18","Ligation Control","Unknown","","","","","","","","","",""
"19","PCR NTC","Unknown","","","","","","","","","",""
"20","PCR NTC","Unknown","","","","","","","","","",""



